| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 14	3.800000000000001	62.0	43.0
Persona 15	3.800000000000001	86.0	58.0
Persona 16	3.800000000000001	86.0	40.0
Persona 17	3.800000000000001	60.0	87.0
Persona 18	3.800000000000001	97.0	15.0
Persona 19	3.800000000000001	37.0	65.0
Persona 20	3.800000000000001	4.0	44.0
Persona 1	4.000000000000001	44.0	0.0
Persona 2	4.000000000000001	13.0	10.0
Persona 3	4.000000000000001	99.0	84.0
Persona 4	4.000000000000001	54.0	71.0
Persona 5	4.000000000000001	10.0	34.0
Persona 6	4.000000000000001	23.0	95.0
Persona 7	4.000000000000001	23.0	41.0
Persona 8	4.000000000000001	49.0	39.0
Persona 9	4.000000000000001	78.0	43.0
Persona 10	4.000000000000001	5.0	81.0
Persona 11	4.000000000000001	46.0	80.0
Persona 12	4.000000000000001	76.0	93.0
Persona 13	4.000000000000001	73.0	89.0
Persona 14	4.000000000000001	61.0	44.0
Persona 15	4.000000000000001	87.0	58.0
Persona 16	4.000000000000001	87.0	40.0
Persona 17	4.000000000000001	61.0	87.0
Persona 18	4.000000000000001	96.0	15.0
Persona 19	4.000000000000001	38.0	66.0
Persona 20	4.000000000000001	3.0	44.0
Persona 1	4.200000000000001	45.0	0.0
Persona 2	4.200000000000001	12.0	9.0
Persona 3	4.200000000000001	98.0	85.0
Persona 4	4.200000000000001	54.0	72.0
Persona 5	4.200000000000001	9.0	33.0
Persona 6	4.200000000000001	23.0	96.0
Persona 7	4.200000000000001	22.0	42.0
Persona 8	4.200000000000001	48.0	40.0
Persona 9	4.200000000000001	79.0	43.0
Persona 10	4.200000000000001	5.0	80.0
Persona 11	4.200000000000001	45.0	81.0
Persona 12	4.200000000000001	75.0	92.0
Persona 13	4.200000000000001	74.0	89.0
Persona 14	4.200000000000001	60.0	45.0
Persona 15	4.200000000000001	88.0	58.0
Persona 16	4.200000000000001	88.0	40.0
Persona 17	4.200000000000001	62.0	87.0
Persona 18	4.200000000000001	95.0	14.0
Persona 19	4.200000000000001	38.0	67.0
Persona 20	4.200000000000001	2.0	43.0
Persona 1	4.400000000000001	46.0	1.0
Persona 2	4.400000000000001	11.0	8.0
Persona 3	4.400000000000001	97.0	85.0
Persona 4	4.400000000000001	54.0	73.0
Persona 5	4.400000000000001	8.0	32.0
Persona 6	4.400000000000001	23.0	97.0
Persona 7	4.400000000000001	21.0	42.0
Persona 8	4.400000000000001	47.0	41.0
Persona 9	4.400000000000001	80.0	44.0
Persona 10	4.400000000000001	5.0	79.0
Persona 11	4.400000000000001	44.0	82.0
Persona 12	4.400000000000001	74.0	91.0
Persona 13	4.400000000000001	75.0	90.0
Persona 14	4.400000000000001	59.0	45.0
Persona 15	4.400000000000001	89.0	59.0
Persona 16	4.400000000000001	89.0	41.0
Persona 17	4.400000000000001	63.0	88.0
Persona 18	4.400000000000001	94.0	13.0
Persona 19	4.400000000000001	38.0	68.0
Persona 20	4.400000000000001	1.0	42.0
Persona 1	4.600000000000001	47.0	2.0
Persona 2	4.600000000000001	10.0	7.0
Persona 3	4.600000000000001	96.0	85.0
Persona 4	4.600000000000001	53.0	74.0
Persona 5	4.600000000000001	7.0	31.0
Persona 6	4.600000000000001	22.0	98.0
Persona 7	4.600000000000001	20.0	42.0
Persona 8	4.600000000000001	46.0	41.0
Persona 9	4.600000000000001	81.0	45.0
Persona 10	4.600000000000001	6.0	78.0
Persona 11	4.600000000000001	43.0	82.0
Persona 12	4.600000000000001	73.0	90.0
Persona 13	4.600000000000001	76.0	91.0
Persona 14	4.600000000000001	58.0	45.0
Persona 15	4.600000000000001	90.0	60.0
Persona 16	4.600000000000001	90.0	42.0
Persona 17	4.600000000000001	64.0	89.0
Persona 18	4.600000000000001	93.0	12.0
Persona 19	4.600000000000001	37.0	69.0
Persona 20	4.600000000000001	0.0	41.0
Persona 1	4.800000000000002	47.0	3.0
Persona 2	4.800000000000002	10.0	6.0
Persona 3	4.800000000000002	95.0	84.0
Persona 4	4.800000000000002	52.0	75.0
Persona 5	4.800000000000002	7.0	30.0
Persona 6	4.800000000000002	21.0	99.0
Persona 7	4.800000000000002	19.0	41.0
Persona 8	4.800000000000002	45.0	41.0
Persona 9	4.800000000000002	81.0	46.0
Persona 10	4.800000000000002	7.0	77.0
Persona 11	4.800000000000002	42.0	82.0
Persona 12	4.800000000000002	73.0	89.0
Persona 13	4.800000000000002	76.0	92.0
Persona 14	4.800000000000002	57.0	44.0
Persona 15	4.800000000000002	90.0	61.0
Persona 16	4.800000000000002	90.0	43.0
Persona 17	4.800000000000002	64.0	90.0
Persona 18	4.800000000000002	93.0	11.0
Persona 19	4.800000000000002	36.0	70.0
Persona 20	4.800000000000002	0.0	40.0
Persona 1	5.000000000000002	47.0	4.0
Persona 2	5.000000000000002	11.0	5.0
Persona 3	5.000000000000002	94.0	83.0
Persona 4	5.000000000000002	51.0	75.0
Persona 5	5.000000000000002	8.0	29.0
Persona 6	5.000000000000002	20.0	99.0
Persona 7	5.000000000000002	18.0	40.0
Persona 8	5.000000000000002	44.0	40.0
Persona 9	5.000000000000002	81.0	47.0
Persona 10	5.000000000000002	8.0	77.0
Persona 11	5.000000000000002	41.0	81.0
Persona 12	5.000000000000002	74.0	88.0
Persona 13	5.000000000000002	76.0	93.0
Persona 14	5.000000000000002	56.0	43.0
Persona 15	5.000000000000002	90.0	62.0
Persona 16	5.000000000000002	90.0	44.0
Persona 17	5.000000000000002	64.0	91.0
Persona 18	5.000000000000002	94.0	10.0
Persona 19	5.000000000000002	35.0	70.0
Persona 20	5.000000000000002	1.0	39.0
Persona 1	5.200000000000002	46.0	5.0
Persona 2	5.200000000000002	12.0	4.0
Persona 3	5.200000000000002	94.0	82.0
Persona 4	5.200000000000002	50.0	75.0
Persona 5	5.200000000000002	9.0	28.0
Persona 6	5.200000000000002	19.0	99.0
Persona 7	5.200000000000002	18.0	39.0
Persona 8	5.200000000000002	43.0	39.0
Persona 9	5.200000000000002	80.0	48.0
Persona 10	5.200000000000002	9.0	77.0
Persona 11	5.200000000000002	40.0	80.0
Persona 12	5.200000000000002	75.0	87.0
Persona 13	5.200000000000002	75.0	94.0
Persona 14	5.200000000000002	56.0	42.0
Persona 15	5.200000000000002	89.0	63.0
Persona 16	5.200000000000002	89.0	45.0
Persona 17	5.200000000000002	63.0	92.0
Persona 18	5.200000000000002	95.0	9.0
Persona 19	5.200000000000002	34.0	70.0
Persona 20	5.200000000000002	2.0	38.0
Persona 1	5.400000000000002	45.0	6.0
Persona 2	5.400000000000002	13.0	3.0
Persona 3	5.400000000000002	94.0	81.0
Persona 4	5.400000000000002	49.0	74.0
Persona 5	5.400000000000002	10.0	27.0
Persona 6	5.400000000000002	18.0	98.0
Persona 7	5.400000000000002	18.0	38.0
Persona 8	5.400000000000002	43.0	38.0
Persona 9	5.400000000000002	79.0	49.0
Persona 10	5.400000000000002	10.0	78.0
Persona 11	5.400000000000002	40.0	79.0
Persona 12	5.400000000000002	76.0	86.0
Persona 13	5.400000000000002	74.0	95.0
Persona 14	5.400000000000002	56.0	41.0
Persona 15	5.400000000000002	88.0	64.0
Persona 16	5.400000000000002	88.0	46.0
Persona 17	5.400000000000002	62.0	93.0
Persona 18	5.400000000000002	96.0	8.0
Persona 19	5.400000000000002	33.0	69.0
Persona 20	5.400000000000002	3.0	37.0
Persona 1	5.600000000000002	44.0	6.0
Persona 2	5.600000000000002	14.0	3.0
Persona 3	5.600000000000002	95.0	80.0
Persona 4	5.600000000000002	48.0	73.0
Persona 5	5.600000000000002	11.0	27.0
Persona 6	5.600000000000002	17.0	97.0
Persona 7	5.600000000000002	19.0	37.0
Persona 8	5.600000000000002	43.0	37.0
Persona 9	5.600000000000002	78.0	49.0
Persona 10	5.600000000000002	11.0	79.0
Persona 11	5.600000000000002	40.0	78.0
Persona 12	5.600000000000002	77.0	86.0
Persona 13	5.600000000000002	73.0	95.0
Persona 14	5.600000000000002	57.0	40.0
Persona 15	5.600000000000002	87.0	64.0
Persona 16	5.600000000000002	87.0	46.0
Persona 17	5.600000000000002	61.0	93.0
Persona 18	5.600000000000002	97.0	8.0
Persona 19	5.600000000000002	32.0	68.0
Persona 20	5.600000000000002	4.0	37.0
Persona 1	5.8000000000000025	43.0	6.0
Persona 2	5.8000000000000025	15.0	4.0
Persona 3	5.8000000000000025	96.0	79.0
Persona 4	5.8000000000000025	48.0	72.0
Persona 5	5.8000000000000025	12.0	28.0
Persona 6	5.8000000000000025	17.0	96.0
Persona 7	5.8000000000000025	20.0	36.0
Persona 8	5.8000000000000025	44.0	36.0
Persona 9	5.8000000000000025	77.0	49.0
Persona 10	5.8000000000000025	11.0	80.0
