| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 13	5.600000000000002	42.0	37.0
Persona 14	5.600000000000002	15.0	2.0
Persona 15	5.600000000000002	26.0	93.0
Persona 16	5.600000000000002	3.0	44.0
Persona 17	5.600000000000002	78.0	85.0
Persona 18	5.600000000000002	94.0	86.0
Persona 19	5.600000000000002	44.0	24.0
Persona 20	5.600000000000002	27.0	96.0
Persona 1	5.8000000000000025	58.0	94.0
Persona 2	5.8000000000000025	21.0	65.0
Persona 3	5.8000000000000025	40.0	26.0
Persona 4	5.8000000000000025	54.0	60.0
Persona 5	5.8000000000000025	59.0	78.0
Persona 6	5.8000000000000025	53.0	60.0
Persona 7	5.8000000000000025	55.0	21.0
Persona 8	5.8000000000000025	94.0	73.0
Persona 9	5.8000000000000025	31.0	12.0
Persona 10	5.8000000000000025	51.0	57.0
Persona 11	5.8000000000000025	67.0	56.0
Persona 12	5.8000000000000025	98.0	60.0
Persona 13	5.8000000000000025	42.0	38.0
Persona 14	5.8000000000000025	15.0	3.0
Persona 15	5.8000000000000025	25.0	94.0
Persona 16	5.8000000000000025	4.0	43.0
Persona 17	5.8000000000000025	78.0	84.0
Persona 18	5.8000000000000025	95.0	85.0
Persona 19	5.8000000000000025	44.0	25.0
Persona 20	5.8000000000000025	28.0	95.0
Persona 1	6.000000000000003	58.0	93.0
Persona 2	6.000000000000003	21.0	64.0
Persona 3	6.000000000000003	41.0	27.0
Persona 4	6.000000000000003	54.0	61.0
Persona 5	6.000000000000003	60.0	77.0
Persona 6	6.000000000000003	53.0	61.0
Persona 7	6.000000000000003	56.0	21.0
Persona 8	6.000000000000003	93.0	72.0
Persona 9	6.000000000000003	30.0	12.0
Persona 10	6.000000000000003	52.0	56.0
Persona 11	6.000000000000003	66.0	55.0
Persona 12	6.000000000000003	97.0	60.0
Persona 13	6.000000000000003	42.0	39.0
Persona 14	6.000000000000003	15.0	4.0
Persona 15	6.000000000000003	24.0	94.0
Persona 16	6.000000000000003	5.0	42.0
Persona 17	6.000000000000003	78.0	83.0
Persona 18	6.000000000000003	96.0	84.0
Persona 19	6.000000000000003	44.0	26.0
Persona 20	6.000000000000003	29.0	94.0
Persona 1	6.200000000000003	59.0	92.0
Persona 2	6.200000000000003	22.0	63.0
Persona 3	6.200000000000003	41.0	28.0
Persona 4	6.200000000000003	53.0	62.0
Persona 5	6.200000000000003	61.0	77.0
Persona 6	6.200000000000003	52.0	62.0
Persona 7	6.200000000000003	57.0	21.0
Persona 8	6.200000000000003	92.0	71.0
Persona 9	6.200000000000003	29.0	12.0
Persona 10	6.200000000000003	53.0	56.0
Persona 11	6.200000000000003	65.0	54.0
Persona 12	6.200000000000003	96.0	60.0
Persona 13	6.200000000000003	41.0	40.0
Persona 14	6.200000000000003	14.0	5.0
Persona 15	6.200000000000003	23.0	94.0
Persona 16	6.200000000000003	6.0	42.0
Persona 17	6.200000000000003	79.0	82.0
Persona 18	6.200000000000003	97.0	84.0
Persona 19	6.200000000000003	43.0	27.0
Persona 20	6.200000000000003	30.0	94.0
Persona 1	6.400000000000003	60.0	91.0
Persona 2	6.400000000000003	23.0	62.0
Persona 3	6.400000000000003	41.0	29.0
Persona 4	6.400000000000003	52.0	63.0
Persona 5	6.400000000000003	62.0	77.0
Persona 6	6.400000000000003	51.0	63.0
Persona 7	6.400000000000003	58.0	22.0
Persona 8	6.400000000000003	92.0	70.0
Persona 9	6.400000000000003	28.0	11.0
